doi	subject
nclimate1779	Climate change
nclimate1779	Communication
nclimate1779	Environmental social sciences
srep01017	Electronic properties and devices
srep01017	Nanoscale devices
srep01017	Optical properties and devices
srep01017	Semiconductors
srep00982	Bioinformatics
srep00982	Genomics
srep00982	Molecular biology
srep00982	Molecular evolution
srep01016	Amyotrophic lateral sclerosis
srep01016	Dementia
srep01016	Neurodegeneration
srep01016	RNA metabolism
srep01018	Reaction kinetics and dynamics
srep01018	Metal complexes
srep01018	Spectrophotometry
srep01018	Thermodynamics
srep01013	Electronic properties and devices
srep01013	Superconducting devices
srep01013	Superconducting properties and materials
srep01013	Two-dimensional materials
srep01015	Colloids
srep01015	Statistical physics
srep01015	 thermodynamics and nonlinear dynamics
srep01015	Structure of solids and liquids
srep01000	Design
srep01000	 synthesis and processing
srep01000	Electrical and electronic engineering
srep01000	Mechanical engineering
srep01000	Solar cells
srep01004	Colloids
srep01004	Materials science
srep01004	Molecular self-assembly
srep01004	Physical chemistry
srep01010	Applied physics
srep01010	Climate sciences
srep01010	Ocean sciences
srep01010	Physical oceanography
srep01012	Carbon nanotubes and fullerenes
srep01012	Mechanical and structural properties and devices
srep01012	Molecular machines and motors
srep01012	Surfaces
srep01012	 interfaces and thin films
srep00998	Applied physics
srep00998	Condensed-matter physics
srep00998	Materials science
srep00998	Superconducting properties and materials
srep01001	Applied physics
srep01001	Civil engineering
srep01001	Statistical physics
srep01001	 thermodynamics and nonlinear dynamics
srep01001	Statistics
srep01005	Biogeochemistry
srep01005	Ecology
srep01005	Environmental chemistry
srep01005	Environmental sciences
srep01007	Applied physics
srep01007	Nonlinear optics
srep01007	Optical manipulation and tweezers
srep01007	Ultrafast lasers
srep01011	Complexity
srep01011	Databases
srep01011	Gene regulation
srep01011	Network topology
nclimate1761	Business and industry
nclimate1761	Climate-change policy
nclimate1761	Environmental economics
nclimate1761	Politics
nclimate1776	Hydrology
srep00947	Atmospheric chemistry
srep00947	Environmental monitoring
srep00947	Grassland ecology
srep00947	Stomata
srep00990	Bayesian inference
srep00990	Cancer models
srep00990	Computational biophysics
srep00990	Computational models
srep00992	Condensed-matter physics
srep00992	Electronic properties and materials
srep00992	Quantum fluids and solids
srep00992	Theoretical physics
srep00993	Applied physics
srep00993	Biomaterials
srep00993	Structure of solids and liquids
srep00993	Thermodynamics
srep00995	Mechanical and structural properties and devices
srep00995	Nanoparticles
srep00995	Structure of solids and liquids
srep00995	Surfaces
srep00995	 interfaces and thin films
srep00984	3-D reconstruction
srep00984	Phase-contrast microscopy
srep00984	X-ray tomography
srep00988	Applied physics
srep00988	Materials for devices
srep00988	Mechanical engineering
srep00988	Physics
srep00983	Chemical engineering
srep00983	Electronic properties and devices
srep00983	Electronic properties and materials
srep00983	Surfaces
srep00983	 interfaces and thin films
srep00987	Nanoscale devices
srep00987	Nanoscience and technology
srep00987	Nanowires
srep00987	Sensors and biosensors
srep00931	Geodynamics
srep00931	Seismology
srep00931	Solid Earth sciences
srep00931	Space physics
srep00967	Biological physics
srep00967	Computational science
srep00967	Information theory and computation
srep00967	Statistical physics
srep00967	 thermodynamics and nonlinear dynamics
srep00981	Electrocatalysis
srep00981	Nanowires
srep00981	Photocatalysis
srep00981	Synthesis and processing
srep00979	Biophysics
srep00979	Medical research
srep00979	Pharmacology
srep00979	Physiology
nclimate1398	Biogeochemistry
nclimate1398	Climate-change ecology
nclimate1398	Climate-change mitigation
nclimate1398	Ecosystem services
nclimate1446	Culture
nclimate1446	Economics
